question_id,question_text,a_option,b_option,c_option,d_option,correct_option,question_category
71,What planet is closest to Earth?,Mars,Venus,Jupiter,Saturn,2,Geography
72,What is the name of the river that flows through the Brazilian rainforest?,Amazon River,Nile River,Congo River,Yangtze River,1,Geography
73,What country has the most natural lakes?,Canada,Russia,United States,Sweden,1,Geography
74,Which continent is Cambodia located in?,Asia,Africa,South America,Australia,1,Geography
75,What is the coldest state in the US?,Alaska,North Dakota,Minnesota,Maine,1,Geography
76,Which country was not part of the Soviet Union?,Ukraine,Latvia,Czech Republic,Kazakhstan,3,Geography
77,What is the name of the US state that is an island?,Hawaii,Alaska,Rhode Island,Florida,1,Geography
78,"One of the ancient world wonders, the “Hanging Gardens,” was found in which city?",Babylon,Athens,Rome,Jerusalem,1,History
79,"Who was the first man to walk on the moon, and in which year?",Neil Armstrong - 1969,Buzz Aldrin - 1967,Yuri Gagarin - 1961,John Glenn - 1958,1,History
80,Who built the first car in America?,Henry Ford,Thomas Edison,Alexander Graham Bell,Wright Brothers,1,History
81,What is the name of the first human civilization?,Sumer,Egypt,Indus Valley,Mesoamerica,1,History
82,Which century did the French Revolution take place in?,16th century,17th century,18th century,19th century,3,History
83,Who led the USSR from 1917-1922?,Joseph Stalin,Vladimir Lenin,Leon Trotsky,Mikhail Gorbachev,2,History
84,Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Marconi,3,History
85,Where was Adolf Hitler born?,Austria,Germany,Poland,Hungary,1,History
86,Who created the first successful printing press?,Johannes Kepler,Gutenberg,Galileo Galilei,Isaac Newton,2,History
87,What famous 5th century A.D. conqueror was known as “The Scourge of God”?,Attila the Hun,Julius Caesar,Genghis Khan,Alexander the Great,1,History
88,"Who orchestrated a terrorist attack against the United States on September 11th, 2001?",Saddam Hussein,Osama bin Laden,Muammar Gaddafi,Ayman al-Zawahiri,2,History
89,"Along with Hiroshima, Japan, which Japanese city was hit by an atomic bomb in 1945?",Nagasaki,Tokyo,Kyoto,Osaka,1,History
90,The Cuban Revolution led to the rise of what dictator?,Fidel Castro,Hugo Chávez,Augusto Pinochet,Che Guevara,1,History
91,Where was Cleopatra’s birthplace?,Athens,Rome,Alexandria,Thebes,3,History
92,The Cold War was between the United States and what other world power?,China,Germany,Soviet Union,Japan,3,History
93,"Which element is used as a disinfectant, a bleaching agent and to purify water?",Chlorine,Sodium,Potassium,Magnesium,1,Chemistry
94,What raw material is used for making glass?,Sand,Clay,Coal,Iron,1,Chemistry
95,Steel is an alloy of which 2 substances?,Iron and Copper,Iron and Zinc,Iron and Carbon,Iron and Aluminum,3,Chemistry
96,What element is metal and liquid at the same time?,Mercury,Copper,Aluminum,Silver,1,Chemistry
97,"Which lightweight metal is used in the manufacture of aircraft, cars, and ships?",Aluminum,Titanium,Magnesium,Copper,1,Chemistry
98,What common chemical compound is represented by the formula NH2?,Ammonia,Nitrous Oxide,Hydrochloric Acid,Sulfuric Acid,1,Chemistry
99,What was the most widely prescribed antidepressant in the U.S. in the 1990s?,Prozac,Zoloft,Paxil,Lexapro,1,Chemistry
100,Which scientist was the first to receive the Nobel prize twice?,Marie Curie,Albert Einstein,Niels Bohr,Isaac Newton,1,Chemistry
101,Which element discovered in 1898 is associated with Superman?,Krypton,Xenon,Argon,Neon,1,Chemistry
102,What was Freddie Mercury's real name?,Farrokh Bulsara,John Deacon,Brian May,Roger Taylor,1,Music
103,Which member of the Avengers had a brief stint as a pop star?,Chris Hemsworth,Brie Larson,Scarlett Johansson,Jeremy Renner,2,Music
104,"In The Big Lebowski, The Dude can''t stand which band?",The Eagles,Creedence Clearwater Revival,The Rolling Stones,The Doors,1,Music
105,Jimi Hendrix only had one Top 40 hit. Which song was it?,Purple Haze,All Along the Watchtower,Foxy Lady,Hey Joe,2,Music
106,Which classical composer was deaf?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Joseph Haydn,1,Music
107,"Which astronomer is name-dropped in '"Bohemian Rhapsody?'"",Isaac Newton,Galileo Galilei,Johannes Kepler,Nicolas Copernicus,2,Music
108,Who is considered as the best drummer of the world?,Keith Moon,Ginger Baker,John Bonham,Buddy Rich,3,Music
109,"What one-hit wonder act is behind '"Barbie Girl?'"",Vengaboys,Aqua,Eiffel 65,Lou Bega,2,Music
110,Jared Leto is the frontman of what band?,30 Seconds to Mars,My Chemical Romance,Panic! at the Disco,Fall Out Boy,1,Music
111,Which Marvel movie's soundtrack won two Grammys?,Black Panther,Guardians of the Galaxy,The Avengers,Spider-Man: Homecoming,1,Music
112,Which band released the 1987 album Appetite for Destruction?,Bon Jovi,Guns N' Roses,Def Leppard,Motley Crue,2,Music
113,Who sang the theme song for Titanic?,Celine Dion,Whitney Houston,Mariah Carey,Adele,1,Music
114,Who is the lead singer of The Rolling Stones?,Mick Jagger,Keith Richards,Ron Wood,Charlie Watts,1,Music
116,What country is Rihanna from?,United States,United Kingdom,Barbados,Jamaica,3,Music
117,Ozzy Osbourne was in what heavy metal band?,Metallica,Iron Maiden,Black Sabbath,Slayer,3,Music
118,What Pink Floyd album inspired a movie by the same name?,The Wall,Wish You Were Here,Dark Side of the Moon,Animals,1,Music
119,What Disney character did Miley Cyrus play?,Elsa,Anna,Moana,Hannah Montana,4,Music
120,Who is considered the greatest basketball player of all time?,Kobe Bryant,LeBron James,Michael Jordan,Magic Johnson,3,Sports
121,In which city did the first modern Olympic Games take place in 1896?,Paris,Athens,London,Rome,2,Sports
122,Which fighter did not become an actor after their WWE career?,"Dwayne '"The Rock'" Johnson",John Cena,Dave Bautista,Brock Lesnar,4,Sports
123,"Which country is known for producing some of the greatest soccer players, including Pelé, Ronaldo, and Neymar?",Argentina,Germany,Brazil,France,3,Sports
124,What is the name of the trophy awarded to the winner of the FIFA World Cup?,Golden Boot,Golden Ball,World Cup Trophy,Golden Glove,3,Sports
125,"Which athlete is known as '"The Fastest Man on Earth'" due to his sprinting records?",Usain Bolt,Carl Lewis,Jesse Owens,Michael Johnson,1,Sports
126,What is the highest possible score in a game of bowling?,100,200,300,400,3,Sports
127,"Which boxer was known as '"The Greatest'" and '"The Champ'" and is considered one of the greatest boxers of all time?",Mike Tyson,Floyd Mayweather,Muhammad Ali,Evander Holyfield,3,Sports
128,"In which sport is a '"hole-in-one'" a perfect shot?",Golf,Tennis,Soccer,Swimming,1,Sports
129,Which country has won the most FIFA World Cup championships?,Brazil,Germany,Argentina,Italy,1,Sports
130,Which athlete has the most Olympic gold medals?,Usain Bolt,Michael Phelps,Serena Williams,Simone Biles,2,Sports
131,Which football player is famous for sprinting from midfield to the end?,Lionel Messi,Neymar,Cristiano Ronaldo,Kylian Mbappé,3,Sports
132,Which player died suddenly in a helicopter crash?,Kobe Bryant,LeBron James,Michael Jordan,Stephen Curry,1,Sports
133,"Which WWE fighter is known for the '"coffin'" finishing move?",John Cena,The Rock,The Undertaker,Stone Cold Steve Austin,3,Sports
134,Which sport branch is not considered as athletics?,Soccer,Track and Field,Swimming,Gymnastics,1,Sports
135,What is the name of the 400-meter sprint with 4 runners?,Sprint,Relay,Marathon,Hurdles,2,Sports
136,What is the standard height of an NBA basketball hoop in meters?,2.45 meters,2.66 meters,3.0 meters,3.05 meters,4,Sports
137,What is the standard size of a football pitch according to FIFA?,100 x 49 meters,105 x 68 meters,110 x 75 meters,120 x 78 meters,2,Sports
138,What is the reverse of taking an integral?,Derivative,Differential equation,Limit,Summation,1,Mathematics
139,Which of the following is the largest species of penguin?,Emperor Penguin,King Penguin,Adélie Penguin,Gentoo Penguin,1,Biology
140,Which animal's natural habitat is not Australia?,Kangaroo,Koala,Platypus,Tiger,4,Geography
141,Which species exhibits male parental care by carrying offspring instead of females?,Penguin,Octopus,Seahorse,Kangaroo,3,Biology
115,"Who did Elton John sing '"Cold Heart'" with?",Freddie Mercury,Dua Lipa,David Bowie,Stevie Wonder,2,Music
